# Date:     2022-12-06 07:46:39
# Database: ocvs
# Target:   smc_acep
# Query:    TRUE 
# Objects:  122
# Columns:
# ID	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-SMC-ACEP-001	349.239045	-75.502500	17.535	18.097	0.562	0.9211640	0.0000111	6000.81032	0.328	0.265	3.553	0.209	1.652
OGLE-SMC-ACEP-002	355.958955	-72.099333	17.730	18.331	0.601	1.2255147	0.0000070	6000.69445	0.591	0.486	4.333	0.365	2.409
OGLE-SMC-ACEP-003	356.867670	-72.302944	17.570	17.997	0.427	1.0804526	0.0000118	6000.46301	0.925	0.531	4.331	0.272	2.467
OGLE-SMC-ACEP-004	358.254000	-69.695556	18.313	18.912	0.599	0.8382755	0.0000058	6000.58507	0.446	0.345	4.177	0.292	2.156
OGLE-SMC-ACEP-005	359.348880	-63.933778	17.682	18.215	0.533	1.1402295	0.0000029	6000.47688	0.766	0.421	4.371	0.329	2.281
OGLE-SMC-ACEP-006	0.688995	-74.494000	17.867	18.427	0.560	0.8339549	0.0000008	6000.81612	0.647	0.364	4.095	0.274	1.730
OGLE-SMC-ACEP-007	2.133330	-69.296333	17.093	17.460	0.367	1.0398804	0.0000052	6000.85253	0.173	0.063	4.132	0.063	4.132
OGLE-SMC-ACEP-008	2.474580	-70.391778	17.382	17.965	0.583	1.3059820	0.0000036	6000.09650	0.427	0.422	4.288	0.293	2.252
OGLE-SMC-ACEP-009	3.740790	-75.323222	17.142	17.715	0.573	1.5579242	0.0000016	6000.90199	0.730	0.496	4.341	0.374	2.437
OGLE-SMC-ACEP-010	4.014330	-78.613444	17.766	18.371	0.605	0.9933561	0.0000060	6000.56790	0.767	0.449	4.096	0.312	1.806
OGLE-SMC-ACEP-011	5.578215	-74.459361	17.664	18.202	0.538	0.9364762	0.0000008	6000.00744	0.660	0.393	3.998	0.292	1.678
OGLE-SMC-ACEP-012	6.675660	-71.673472	17.367	17.968	0.601	1.4295557	0.0000019	6001.28350	0.555	0.440	4.337	0.329	2.420
OGLE-SMC-ACEP-013	6.819285	-66.997222	17.390	17.787	0.397	0.8738865	0.0000088	6000.27939	0.464	0.213	4.707	0.100	2.863
OGLE-SMC-ACEP-014	6.863580	-73.090944	17.162	17.704	0.542	1.0890600	0.0000026	6000.50629	0.308	0.016	3.133	0.040	5.590
OGLE-SMC-ACEP-015	6.940125	-66.412750	17.238	17.717	0.479	1.1257346	0.0000193	6000.51239	0.385	0.128	3.498	0.077	0.525
OGLE-SMC-ACEP-016	7.553250	-64.695111	16.985	17.523	0.538	1.8637981	0.0000080	6000.55537	0.786	0.531	4.590	0.337	2.873
OGLE-SMC-ACEP-017	7.610460	-71.993889	17.590	18.081	0.491	0.7692864	0.0000014	6000.49834	0.338	0.358	4.167	0.132	2.400
OGLE-SMC-ACEP-018	7.927080	-71.821444	17.767	18.202	0.435	0.6400563	0.0000009	6000.58549	0.477	0.334	3.914	0.138	1.702
OGLE-SMC-ACEP-019	8.381160	-70.948139	17.708	18.123	0.415	0.6865183	0.0000009	6000.60226	0.533	0.414	4.301	0.129	2.415
