# Date:     2022-12-06 07:19:44
# Database: ocvs
# Target:   smc_rrlyr
# Query:    TRUE 
# Objects:  6786
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-RRLYR-0001	RRab	4.977960	-74.701167	19.050	19.564	0.514	0.55881450	0.00000090	6000.53594	0.669	0.431	4.215	0.337	2.199	-99.99	SMC139.8.421	SMC709.17.2320	-99.99	
OGLE-SMC-RRLYR-0002	RRab	4.978245	-74.558528	19.004	19.597	0.593	0.59479400	0.00000190	6000.46150	0.422	0.458	4.423	0.328	2.789	-99.99	SMC139.7.194	SMC714.16.360	-99.99	
OGLE-SMC-RRLYR-0003	RRab	5.071125	-71.957333	19.155	19.767	0.612	0.65067950	0.00000330	6000.38613	0.279	0.323	4.450	0.151	3.062	-99.99	SMC140.6.43095	SMC707.30.5621	-99.99	
OGLE-SMC-RRLYR-0004	RRd	5.087880	-74.782250	19.256	19.718	0.462	0.37421280	0.00000140	6000.09359	0.282	0.204	4.869	0.103	2.931	-99.99	SMC139.8.477	SMC709.17.2420	-99.99	
OGLE-SMC-RRLYR-0005	RRab	5.091000	-74.383250	19.052	19.641	0.589	0.56526510	0.00000200	6000.02632	0.529	0.353	4.149	0.148	2.150	-99.99	SMC139.6.562	SMC714.16.2570	-99.99	
OGLE-SMC-RRLYR-0006	RRab	5.138835	-74.732806	18.994	19.536	0.542	0.54718430	0.00000080	6000.34708	0.693	0.454	4.263	0.354	2.107	-99.99	SMC139.8.242	SMC714.07.2787	-99.99	
OGLE-SMC-RRLYR-0007	RRc	5.204535	-74.455611	19.287	19.692	0.405	0.35452750	0.00000120	6000.30052	0.360	0.180	5.017	0.000	-99.99	-99.99	SMC139.6.611	SMC714.15.2692	-99.99	
OGLE-SMC-RRLYR-0008	RRab	5.205660	-72.052667	19.151	19.732	0.581	0.63287670	0.00000210	6000.13389	0.357	0.425	4.452	0.286	3.075	-99.99	SMC140.6.514	SMC707.30.1417	-99.99	
OGLE-SMC-RRLYR-0009	RRab	5.239245	-72.201194	18.900	-99.99	-99.99	0.69476150	0.00000170	6000.10571	0.419	0.366	4.020	0.245	-99.99	-99.99	SMC140.7.524	SMC707.30.695D	-99.99	
OGLE-SMC-RRLYR-0010	RRab	5.248710	-74.292056	19.253	19.767	0.514	0.55302730	0.00000220	6000.12176	0.389	0.296	4.343	0.206	2.531	-99.99	SMC139.5.675	SMC714.24.469	-99.99	
