# Date:     2022-12-06 07:17:18
# Database: ocvs
# Target:   smc_t2cep
# Query:    TRUE 
# Objects:  53
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-T2CEP-01	pWVir	7.509840	-73.818611	14.770	15.285	0.515	11.9090364	0.0005787	7011.38111	0.147	0.076	5.678	0.019	3.433	-99.99	SMC133.6.32	SMC714.28.7288	-99.99	
OGLE-SMC-T2CEP-02	BLHer	8.722965	-72.979389	18.227	18.730	0.503	1.3721492	0.0000028	7001.23849	0.512	0.224	4.549	0.051	5.618	-99.99	SMC131.1.737	SMC713.21.8216	-99.99	
OGLE-SMC-T2CEP-03	WVir	9.284790	-73.718028	17.540	18.331	0.791	4.3596664	0.0000183	7001.71653	0.423	0.260	5.797	0.102	5.278	SMC_SC1_33895	SMC133.4.9322	SMC713.03.583	-99.99	
OGLE-SMC-T2CEP-04	WVir	9.584835	-73.287889	17.124	17.936	0.812	6.5304570	0.0002167	7001.34939	0.089	0.088	0.131	0.000	-99.99	SMC_SC1_77980	SMC125.6.89	SMC713.10.16711	-99.99	uncertain
OGLE-SMC-T2CEP-05	WVir	10.515915	-74.023500	16.973	17.860	0.887	8.2071080	0.0001644	7003.99079	0.135	0.121	0.730	0.001	-99.99	-99.99	SMC128.2.185	SMC720.14.188	-99.99	
OGLE-SMC-T2CEP-06	BLHer	10.566750	-73.653750	18.550	19.149	0.599	1.2356392	0.0000025	7000.25453	0.524	0.269	5.113	0.149	3.949	SMC_SC2_81443	SMC128.4.2107	SMC720.23.2962	-99.99	
OGLE-SMC-T2CEP-07	RVTau	10.739535	-73.120778	13.668	14.436	0.768	30.9945180	0.0005476	7008.88923	0.491	0.132	5.404	0.029	3.520	SMC_SC3_31999	SMC125.4.2	SMC713.17.8	HV1369	type II Cepheid in an ellipsoidal binary system (P_orb = 393.13 d)
OGLE-SMC-T2CEP-08	BLHer	11.003250	-73.381778	18.037	18.756	0.719	1.4897820	0.0000051	7000.82085	0.201	0.245	4.505	0.093	2.893	SMC_SC3_130452	SMC125.2.35239	SMC720.30.1683	-99.99	
OGLE-SMC-T2CEP-09	BLHer	11.051535	-72.991250	17.693	18.475	0.782	2.9710736	0.0000081	7000.75046	0.366	0.204	5.405	0.118	4.313	SMC_SC3_157235	SMC126.1.1382	SMC719.07.2545	-99.99	
OGLE-SMC-T2CEP-10	pWVir	11.227785	-73.467583	14.304	14.804	0.500	17.4943384	0.0010987	7002.53633	0.057	0.052	4.907	0.000	-99.99	SMC_SC3_184902	SMC125.2.13188	SMC720.22.18062	-99.99	uncertain, secondary period of 15.768 d, ellipsoidal modulation (P_orb = 198.04 d)
OGLE-SMC-T2CEP-11	pWVir	11.331465	-73.500972	14.574	14.926	0.352	9.9231620	0.0001398	7009.30435	0.197	0.269	5.282	0.154	4.233	SMC_SC3_184897	SMC125.1.37280	SMC720.21.20531	-99.99	
OGLE-SMC-T2CEP-12	RVTau	11.332005	-73.337167	15.435	16.373	0.938	28.8891097	0.0077950	7009.57876	0.098	0.148	3.299	0.098	4.667	SMC_SC3_193335	SMC125.2.50773	SMC720.29.151	-99.99	
OGLE-SMC-T2CEP-13	WVir	11.422380	-72.976361	16.446	17.389	0.943	13.8148509	0.0008741	7011.56358	0.491	0.061	1.922	0.029	2.621	SMC_SC4_32479	SMC126.1.19084	SMC719.06.35054	-99.99	
OGLE-SMC-T2CEP-14	WVir	12.011790	-73.354889	16.533	17.515	0.982	13.8520501	0.0005718	7003.70002	0.425	0.095	1.841	0.037	2.436	SMC_SC4_159889	SMC100.8.45191	SMC720.28.506	-99.99	
OGLE-SMC-T2CEP-15	BLHer	12.403830	-73.167056	16.884	17.189	0.305	2.5703874	0.0000118	7002.49962	0.172	0.193	5.318	0.095	3.822	SMC_SC5_111664	SMC100.7.58875	SMC720.27.44651	-99.99	
