#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
   9  0.105524  3.5212  5.3398 -2.8402 16.5006 14.3108 12.8187 11.7130 11.2965 11.1815
  10  0.117986  3.5251  5.2832 -2.7197 16.1173 13.9424 12.4596 11.4064 11.0006 10.8860
  11  0.132957  3.5293  5.2250 -2.5929 15.7102 13.5553 12.0837 11.0839 10.6892 10.5750
  12  0.153655  3.5353  5.1681 -2.4494 15.2349 13.1041 11.6477 10.7162 10.3369 10.2239
  13  0.181755  3.5441  5.1219 -2.2955 14.6988 12.5961 11.1615 10.3179  9.9605  9.8506
  14  0.207528  3.5511  5.0873 -2.1750 14.2814 12.2044 10.7895 10.0076  9.6665  9.5597
  15  0.228001  3.5556  5.0617 -2.0900 13.9943 11.9348 10.5333  9.7896  9.4589  9.3542
  16  0.245517  3.5589  5.0413 -2.0239 13.7744 11.7284 10.3374  9.6206  9.2974  9.1943
  17  0.262833  3.5619  5.0240 -1.9652 13.5814 11.5466 10.1644  9.4707  9.1540  9.0525
  18  0.279220  3.5644  5.0090 -1.9141 13.4141 11.3888 10.0147  9.3399  9.0290  8.9287
  19  0.292320  3.5663  4.9967 -1.8741 13.2852 11.2669  9.8989  9.2383  8.9316  8.8323
  20  0.301751  3.5677  4.9870 -1.8452 13.1927 11.1790  9.8155  9.1648  8.8611  8.7625
  21  0.308758  3.5686  4.9793 -1.8238 13.1249 11.1145  9.7543  9.1104  8.8089  8.7107
  22  0.314162  3.5693  4.9735 -1.8076 13.0735 11.0657  9.7079  9.0692  8.7691  8.6714
  23  0.318467  3.5699  4.9688 -1.7947 13.0330 11.0272  9.6712  9.0365  8.7377  8.6403
  24  0.322155  3.5704  4.9647 -1.7837 12.9983 10.9942  9.6399  9.0087  8.7110  8.6137
  25  0.325925  3.5709  4.9611 -1.7730 12.9640 10.9616  9.6090  8.9814  8.6848  8.5879
  26  0.330447  3.5716  4.9573 -1.7607 12.9245 10.9239  9.5731  8.9502  8.6550  8.5584
  27  0.336533  3.5724  4.9527 -1.7447 12.8727 10.8746  9.5263  8.9095  8.6164  8.5201
  28  0.354536  3.5754  4.9373 -1.6946 12.7072 10.7177  9.3766  8.7825  8.4962  8.4015
  29  0.386145  3.5826  4.9028 -1.5959 12.3750 10.3979  9.0750  8.5308  8.2616  8.1707
  30  0.412854  3.5879  4.8738 -1.5151 12.0896 10.1392  8.8434  8.3255  8.0664  7.9781
  31  0.431739  3.5928  4.8496 -1.4515 11.8581  9.9294  8.6591  8.1636  7.9139  7.8281
  32  0.444101  3.5967  4.8332 -1.4076 11.6976  9.7809  8.5277  8.0514  7.8094  7.7255
  33  0.456747  3.6010  4.8167 -1.3616 11.5271  9.6235  8.3904  7.9341  7.7006  7.6187
  34  0.470303  3.6061  4.7995 -1.3114 11.3362  9.4487  8.2413  7.8058  7.5817  7.5023
  35  0.483558  3.6116  4.7834 -1.2611 11.1411  9.2704  8.0934  7.6778  7.4630  7.3862
  36  0.495522  3.6171  4.7700 -1.2150 10.9576  9.1026  7.9581  7.5605  7.3548  7.2806
  37  0.505731  3.6222  4.7595 -1.1753 10.7940  8.9535  7.8412  7.4596  7.2620  7.1901
  38  0.514594  3.6270  4.7512 -1.1404 10.6462  8.8200  7.7388  7.3711  7.1812  7.1114
  39  0.522970  3.6318  4.7441 -1.1073 10.5012  8.6901  7.6409  7.2870  7.1045  7.0369
  40  0.532042  3.6372  4.7373 -1.0714 10.3413  8.5475  7.5341  7.1960  7.0220  6.9568
  41  0.542858  3.6438  4.7302 -1.0289 10.1460  8.3763  7.4073  7.0883  6.9245  6.8624
  42  0.555300  3.6519  4.7236 -0.9798  9.9058  8.1746  7.2605  6.9637  6.8121  6.7537
  43  0.569258  3.6614  4.7173 -0.9249  9.6135  7.9472  7.0963  6.8236  6.6857  6.6322
  44  0.584193  3.6716  4.7111 -0.8669  9.2927  7.7110  6.9250  6.6755  6.5514  6.5035
  45  0.599631  3.6817  4.7041 -0.8082  8.9660  7.4816  6.7552  6.5259  6.4151  6.3727
  46  0.615194  3.6916  4.6969 -0.7498  8.6357  7.2621  6.5906  6.3793  6.2810  6.2443
