# Date:     2022-12-06 08:34:03
# Database: ocvs
# Target:   smc_ecl
# Query:    TRUE 
# Objects:  8401
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A_1	A_2
OGLE-SMC-ECL-0001	NC	5.270295	-74.125611	17.441	17.338	-0.103	1.11715210	7000.54320	0.435	0.245
OGLE-SMC-ECL-0002	NC	5.334585	-74.020472	19.512	19.464	-0.048	0.61458750	7000.36750	0.336	0.283
OGLE-SMC-ECL-0003	NC	5.342205	-74.422917	17.354	17.217	-0.137	2.44043810	7000.81210	0.078	0.034
OGLE-SMC-ECL-0004	NC	5.342715	-74.297944	19.338	19.349	0.011	2.13330940	7000.55010	0.624	0.361
OGLE-SMC-ECL-0005	NC	5.349330	-74.080722	18.936	-99.99	-99.99	0.57384710	7000.42810	0.631	0.464
OGLE-SMC-ECL-0006	NC	5.364540	-74.041583	19.967	20.168	0.201	8.89349770	7005.04650	0.677	0.333
OGLE-SMC-ECL-0007	NC	5.402910	-73.779194	17.156	19.758	2.602	1.21111260	7001.18850	0.331	0.190
OGLE-SMC-ECL-0008	NC	5.431500	-74.491833	17.015	16.887	-0.128	36.76230010	7029.55960	0.039	0.014
OGLE-SMC-ECL-0009	NC	5.439090	-74.015972	19.174	19.191	0.017	1.03688470	7000.06180	0.382	0.359
OGLE-SMC-ECL-0010	NC	5.506830	-74.542417	16.443	16.375	-0.068	10.01541170	7001.01840	0.371	0.130
OGLE-SMC-ECL-0011	NC	5.576205	-73.427694	18.589	19.579	0.990	23.06548610	7022.65770	0.450	0.275
OGLE-SMC-ECL-0012	NC	5.616585	-72.129583	18.858	20.070	1.212	0.87076670	7000.75450	0.475	0.146
OGLE-SMC-ECL-0013	NC	5.625465	-74.393194	18.873	19.591	0.718	26.46962680	7002.93860	0.096	0.088
OGLE-SMC-ECL-0014	NC	5.627040	-74.007278	19.090	19.617	0.527	5.65456320	7005.00080	0.823	0.275
OGLE-SMC-ECL-0015	NC	5.662125	-73.283000	14.632	15.792	1.160	155.96536320	7112.05460	0.248	0.185
OGLE-SMC-ECL-0016	NC	5.675580	-73.735222	19.926	19.929	0.003	3.27483030	7000.23660	1.117	0.665
OGLE-SMC-ECL-0017	NC	5.713545	-73.771278	18.962	18.962	0.000	3.40977040	7000.05750	0.598	0.114
OGLE-SMC-ECL-0018	NC	5.721375	-73.413083	19.704	19.957	0.253	3.18651250	7000.09360	0.427	0.139
OGLE-SMC-ECL-0019	NC	5.731335	-73.887917	16.907	17.921	1.014	144.00672800	7105.52650	0.381	0.339
OGLE-SMC-ECL-0020	NC	5.731455	-72.087583	16.764	17.494	0.730	3.73209750	7001.25970	0.190	0.091
OGLE-SMC-ECL-0021	NC	5.734455	-73.904750	18.849	-99.99	-99.99	0.94326130	7000.82620	0.845	0.362
OGLE-SMC-ECL-0022	NC	5.750040	-73.641833	19.032	19.054	0.022	0.85362490	7000.84060	0.370	0.186
OGLE-SMC-ECL-0023	NC	5.782290	-73.697583	19.320	19.796	0.476	3.22038480	7002.16910	0.737	0.268
OGLE-SMC-ECL-0024	C	5.850330	-73.532111	15.994	16.679	0.685	0.38538400	7000.03600	0.488	0.488
OGLE-SMC-ECL-0025	NC	5.857500	-74.376750	18.167	18.016	-0.151	1.26992590	7000.62540	0.563	0.438
OGLE-SMC-ECL-0026	NC	5.873580	-74.403056	17.736	17.636	-0.100	3.64066780	7002.07000	0.336	0.301
OGLE-SMC-ECL-0027	NC	5.891085	-71.924000	17.763	18.643	0.880	69.47913580	7004.22420	0.178	0.165
OGLE-SMC-ECL-0028	NC	5.891460	-74.387028	18.131	18.071	-0.060	15.95465810	7004.77640	0.050	0.046
OGLE-SMC-ECL-0029	NC	5.893380	-73.991222	18.945	18.935	-0.010	1.57133190	7001.25480	0.319	0.153
OGLE-SMC-ECL-0030	NC	5.903505	-74.442000	19.763	19.915	0.152	1.14132840	7000.54340	0.604	0.437
OGLE-SMC-ECL-0031	NC	5.955465	-72.218944	18.144	19.153	1.009	6.81304450	7002.95530	0.073	0.047
OGLE-SMC-ECL-0032	NC	5.960670	-74.170278	17.476	17.377	-0.099	1.75676360	7001.60930	0.380	0.357
OGLE-SMC-ECL-0033	NC	5.973915	-74.658556	19.776	19.897	0.121	2.85571100	7000.41770	1.101	0.391
OGLE-SMC-ECL-0034	NC	6.057495	-73.605389	19.412	19.381	-0.031	0.67073700	7000.46740	0.893	0.713
OGLE-SMC-ECL-0035	NC	6.067125	-73.820833	19.480	19.526	0.046	0.74248300	7000.11530	1.205	0.447
OGLE-SMC-ECL-0036	NC	6.105420	-72.227333	17.995	18.890	0.895	0.98751850	7000.19730	0.843	0.384
OGLE-SMC-ECL-0037	NC	6.107835	-74.367972	18.685	19.483	0.798	11.29745380	7004.66190	1.491	0.540
OGLE-SMC-ECL-0038	NC	6.110460	-73.763972	18.488	18.453	-0.035	1.55509860	7001.01030	0.452	0.385
OGLE-SMC-ECL-0039	NC	6.110955	-74.043167	18.036	18.010	-0.026	1.32104220	7000.15570	0.652	0.596
OGLE-SMC-ECL-0040	NC	6.169215	-74.046917	18.424	18.384	-0.040	3.73649490	7003.31950	0.198	0.136
OGLE-SMC-ECL-0041	NC	6.181455	-74.155833	19.439	19.456	0.017	1.55825190	7000.86630	0.476	0.392
OGLE-SMC-ECL-0042	NC	6.182910	-71.793917	19.693	19.868	0.175	2.15780880	7000.39470	0.907	0.241
OGLE-SMC-ECL-0043	NC	6.187170	-72.295444	18.796	21.230	2.434	2.37030540	7000.03500	0.705	0.458
OGLE-SMC-ECL-0044	NC	6.203670	-74.560667	18.547	18.518	-0.029	1.16436760	7000.38740	0.441	0.410
OGLE-SMC-ECL-0045	NC	6.204330	-74.180750	17.293	17.135	-0.158	10.61613720	7002.38060	0.243	0.020
OGLE-SMC-ECL-0046	NC	6.215535	-74.333722	17.707	17.707	0.000	2.30825310	7002.16660	0.699	0.230
OGLE-SMC-ECL-0047	NC	6.234960	-73.997472	19.104	19.599	0.495	13.53897590	7008.44800	1.103	0.342
OGLE-SMC-ECL-0048	NC	6.236955	-73.558667	18.710	18.678	-0.032	1.76258900	7001.18900	0.550	0.164
OGLE-SMC-ECL-0049	C	6.251910	-72.000750	16.929	17.651	0.722	0.37186930	7000.02430	0.376	0.354
OGLE-SMC-ECL-0050	NC	6.252420	-73.845333	17.479	17.426	-0.053	1.16458860	7000.07820	0.188	0.096
OGLE-SMC-ECL-0051	NC	6.271710	-72.129139	17.784	18.551	0.767	935.21748480	7414.24290	1.567	1.290
OGLE-SMC-ECL-0052	NC	6.277455	-73.539861	17.188	17.098	-0.090	1.57203160	7000.04050	0.377	0.153
OGLE-SMC-ECL-0053	NC	6.300330	-73.687972	18.912	18.866	-0.046	0.98714240	7000.28850	0.253	0.216
OGLE-SMC-ECL-0054	NC	6.310920	-73.976333	18.162	19.026	0.864	15.20994900	7001.65050	0.293	0.173
OGLE-SMC-ECL-0055	NC	6.348960	-73.838722	18.491	18.439	-0.052	1.00318760	7000.90050	0.595	0.574
OGLE-SMC-ECL-0056	C	6.354090	-73.240361	19.015	19.074	0.059	1.42877110	7001.39320	0.191	0.156
OGLE-SMC-ECL-0057	NC	6.355125	-72.549861	13.491	14.708	1.217	0.67767550	7000.57490	0.070	0.056
OGLE-SMC-ECL-0058	NC	6.399750	-74.529333	17.885	17.794	-0.091	0.70657200	7000.13610	0.338	0.297
OGLE-SMC-ECL-0059	NC	6.414750	-73.543833	15.635	16.393	0.758	4.54574550	7003.39820	0.277	0.068
OGLE-SMC-ECL-0060	NC	6.433080	-72.980833	19.449	19.465	0.016	3.59079660	7003.57010	0.341	0.319
OGLE-SMC-ECL-0061	NC	6.437130	-73.924333	19.601	20.008	0.407	5.95141490	7002.63590	0.978	0.331
OGLE-SMC-ECL-0062	NC	6.439170	-74.533250	15.959	15.812	-0.147	1.49282940	7000.56080	0.303	0.260
OGLE-SMC-ECL-0063	NC	6.536910	-72.117111	15.512	15.856	0.344	1.15068440	7000.05690	0.395	0.172
OGLE-SMC-ECL-0064	NC	6.552795	-73.097694	19.873	19.870	-0.003	1.32055610	7000.88030	1.558	0.177
OGLE-SMC-ECL-0065	NC	6.563670	-73.499167	17.844	18.036	0.192	2.03663190	7000.12020	0.121	0.074
OGLE-SMC-ECL-0066	NC	6.582705	-73.818556	17.750	17.754	0.004	3.42225470	7002.79010	0.483	0.168
OGLE-SMC-ECL-0067	NC	6.597660	-73.741500	19.251	19.702	0.451	8.43843260	7005.03160	0.824	0.226
OGLE-SMC-ECL-0068	NC	6.609210	-73.638639	20.023	20.341	0.318	6.42359320	7002.68310	1.110	0.216
OGLE-SMC-ECL-0069	NC	6.688215	-73.823500	18.004	18.003	-0.001	0.90636500	7000.26770	0.158	0.118
OGLE-SMC-ECL-0070	NC	6.744210	-73.323083	19.038	19.064	0.026	1.04469150	7000.59880	0.433	0.358
OGLE-SMC-ECL-0071	NC	6.744870	-74.289861	17.338	17.267	-0.071	2.40380680	7001.40690	1.401	0.405
OGLE-SMC-ECL-0072	NC	6.750090	-71.919139	16.414	17.049	0.635	0.42079960	7000.23400	0.265	0.240
