# Date:     2022-12-06 07:16:37
# Database: ocvs
# Target:   smc_cepheids
# Query:    TRUE 
# Objects:  4951
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-CEP-0001	F	5.032785	-74.548500	17.314	17.897	0.583	1.1282584	0.0000011	6000.95346	0.514	0.419	4.095	0.264	1.946	-99.99	SMC139.7.108	SMC714.16.74	-99.99	
OGLE-SMC-CEP-0002	1	5.172375	-74.516222	16.690	17.230	0.540	1.1354529	0.0000023	6000.03660	0.279	0.213	4.644	0.072	2.850	-99.99	SMC139.7.58	SMC714.15.107	-99.99	
OGLE-SMC-CEP-0003	1	5.269125	-73.770917	16.997	17.437	0.440	0.9562964	0.0000013	6000.56383	0.466	0.344	4.449	0.115	2.345	-99.99	SMC138.6.91	SMC708.10.3726	-99.99	
OGLE-SMC-CEP-0004	2	5.342745	-74.078639	17.294	17.679	0.385	0.5170802	0.0000028	6000.22086	0.064	0.000	-99.99	0.000	-99.99	-99.99	SMC138.8.88	SMC714.24.3308	-99.99	
OGLE-SMC-CEP-0005	F	5.474505	-72.372972	17.196	17.768	0.572	1.2874115	0.0000014	6000.07773	0.652	0.478	4.129	0.324	2.018	-99.99	SMC140.8.1021	SMC707.21.175	-99.99	
OGLE-SMC-CEP-0006	F	5.484840	-73.915528	17.120	17.770	0.650	1.4847727	0.0000037	6000.95008	0.243	0.359	4.237	0.154	2.309	-99.99	SMC138.6.115	SMC714.32.118	-99.99	
OGLE-SMC-CEP-0007	F	5.517795	-73.448667	17.124	-99.99	-99.99	1.3341989	0.0000147	6000.74032	0.485	0.426	4.185	0.297	2.203	-99.99	SMC135.7.69	SMC708.19.1648D	-99.99	
OGLE-SMC-CEP-0009	F	5.606670	-73.784306	16.814	17.384	0.570	1.6392327	0.0000017	6001.48216	0.806	0.501	4.132	0.370	2.134	-99.99	SMC138.6.129	SMC714.32.3373	-99.99	
OGLE-SMC-CEP-0010	F	5.622045	-73.904528	16.976	17.515	0.539	1.4426110	0.0000012	6000.73557	0.729	0.493	4.129	0.353	2.064	-99.99	SMC138.6.133	SMC714.32.120	-99.99	
OGLE-SMC-CEP-0011	F	5.627250	-73.126500	16.946	17.592	0.646	1.3935063	0.0000010	6001.17566	0.670	0.479	4.137	0.337	2.048	-99.99	SMC135.5.55	SMC707.04.62	-99.99	
OGLE-SMC-CEP-0012	1	5.627745	-73.424417	16.204	16.880	0.676	1.7742864	0.0000162	6001.34337	0.149	0.153	4.583	0.000	-99.99	-99.99	SMC135.7.41	SMC708.27.41	-99.99	
OGLE-SMC-CEP-0013	F	5.668500	-73.516833	15.976	16.630	0.654	2.9238729	0.0000066	6000.94403	0.562	0.505	4.554	0.312	2.862	-99.99	SMC135.8.39	SMC708.19.4229	AS Tuc	
OGLE-SMC-CEP-0014	F	5.704380	-73.840417	15.491	16.201	0.710	4.4165259	0.0000119	6002.77234	0.498	0.479	4.760	0.243	3.328	-99.99	SMC138.6.36	SMC714.32.3321	-99.99	
OGLE-SMC-CEP-0015	F	5.704785	-74.223083	16.656	17.312	0.656	1.8279108	0.0000020	6000.03298	0.720	0.501	4.209	0.383	2.226	-99.99	SMC139.5.2400	SMC708.02.3451	-99.99	
OGLE-SMC-CEP-0016	F	5.741160	-73.629639	15.335	15.961	0.626	4.8298084	0.0000231	6000.13031	0.570	0.366	5.002	0.197	3.240	-99.99	SMC138.5.33	SMC708.18.38	-99.99	
OGLE-SMC-CEP-0017	12	5.764785	-73.324083	17.266	17.867	0.601	0.7704964	0.0000016	6000.72454	0.245	0.229	3.835	0.102	1.627	-99.99	-99.99	SMC708.26.116	-99.99	
OGLE-SMC-CEP-0018	12	5.775420	-74.618444	17.286	17.750	0.464	0.7120661	0.0000083	6000.70697	0.038	0.000	-99.99	0.000	-99.99	-99.99	SMC139.7.1698	SMC714.14.76	-99.99	
OGLE-SMC-CEP-0019	F	5.791620	-73.523944	15.694	16.292	0.598	3.1148307	0.0000039	6001.89360	0.737	0.493	4.313	0.288	2.337	-99.99	SMC135.8.46	SMC708.18.5240	AT Tuc HV11216	
OGLE-SMC-CEP-0020	1	5.814540	-73.232833	17.308	17.887	0.579	0.8752545	0.0000021	6000.48702	0.299	0.285	4.336	0.060	2.260	-99.99	SMC135.6.178	SMC708.26.3628	-99.99	
OGLE-SMC-CEP-0021	1	5.837340	-73.602833	16.913	17.380	0.467	1.0916787	0.0000016	6000.52844	0.441	0.236	4.603	0.088	3.035	-99.99	SMC135.8.113	SMC708.18.188	-99.99	
OGLE-SMC-CEP-0022	1	5.892210	-73.399694	18.614	19.134	0.520	0.3136645	0.0000009	6000.24165	0.198	0.000	-99.99	0.088	-99.99	-99.99	SMC135.7.571	SMC708.26.387	-99.99	
OGLE-SMC-CEP-0023	F	5.917245	-73.399111	17.398	18.056	0.658	1.2951188	0.0000044	6000.84061	0.264	0.372	4.163	0.187	2.060	-99.99	SMC135.7.227	SMC708.26.169	-99.99	
OGLE-SMC-CEP-0024	F	5.920785	-73.763972	17.216	17.789	0.573	1.2256194	0.0000010	6000.45364	0.745	0.483	4.075	0.323	1.923	-99.99	SMC138.5.4391	SMC714.31.4861	-99.99	
OGLE-SMC-CEP-0025	1	5.921205	-73.438389	16.561	17.117	0.556	1.1897899	0.0000012	6000.61900	0.314	0.224	4.312	0.080	2.297	-99.99	SMC135.7.115	-99.99	-99.99	
OGLE-SMC-CEP-0026	F	5.933250	-73.382333	16.855	17.344	0.489	1.3036176	0.0000009	6000.72583	0.658	0.501	4.035	0.305	1.922	-99.99	SMC135.7.116	SMC708.26.92	-99.99	
